Sentence #,Word,Tag
Sentence: 6,afraid,O
Sentence: 6,of,O
Sentence: 6,clowns,O
Sentence: 7,in,O
Sentence: 7,what,O
Sentence: 7,1997,B-Year
Sentence: 7,movie,O
Sentence: 7,is,O
Sentence: 7,there,O
Sentence: 7,a,O
Sentence: 7,scene,O
Sentence: 7,featuring,O
Sentence: 7,muscians,O
Sentence: 7,playing,O
Sentence: 7,on,O
Sentence: 7,the,O
Sentence: 7,deck,O
Sentence: 7,of,O
Sentence: 7,a,O
Sentence: 7,ship,O
Sentence: 8,what,O
Sentence: 8,s,O
Sentence: 8,the,O
Sentence: 8,movie,O
Sentence: 8,with,O
Sentence: 8,julie,B-Actor
Sentence: 8,andre,I-Actor
Sentence: 8,where,O
Sentence: 8,she,B-Plot
Sentence: 8,sings,I-Plot
Sentence: 8,and,I-Plot
Sentence: 8,flies,I-Plot
Sentence: 8,with,I-Plot
Sentence: 8,an,I-Plot
Sentence: 8,umbrella,I-Plot
Sentence: 8,and,O
Sentence: 8,dick,B-Actor
Sentence: 8,van,I-Actor
Sentence: 8,dyke,I-Actor
Sentence: 9,what,O
Sentence: 9,is,O
Sentence: 9,the,O
Sentence: 9,movie,O
Sentence: 9,where,O
Sentence: 9,jbiebs,B-Actor
Sentence: 9,does,B-Plot
Sentence: 9,his,I-Plot
Sentence: 9,concerts,I-Plot
Sentence: 10,what,O
Sentence: 10,was,O
Sentence: 10,banksy,B-Director
Sentence: 10,the,O
Sentence: 10,star,O
Sentence: 10,and,O
Sentence: 10,director,O
Sentence: 10,doing,O
Sentence: 10,before,O
Sentence: 10,he,O
Sentence: 10,created,O
Sentence: 10,this,O
Sentence: 10,film,O
Sentence: 11,john,B-Actor
Sentence: 11,travolta,I-Actor
Sentence: 11,had,O
Sentence: 11,that,O
Sentence: 11,one,O
Sentence: 11,scene,O
Sentence: 11,where,O
Sentence: 11,he,O
Sentence: 11,had,O
Sentence: 11,to,O
Sentence: 11,jam,O
Sentence: 11,the,O
Sentence: 11,saving,O
Sentence: 11,rod,O
Sentence: 11,into,O
Sentence: 11,a,O
Sentence: 11,woman,O
Sentence: 11,s,O
Sentence: 11,chest,O
Sentence: 12,what,O
Sentence: 12,is,O
Sentence: 12,the,O
Sentence: 12,1959,B-Year
Sentence: 12,american,B-Genre
Sentence: 12,thriller,I-Genre
Sentence: 12,film,O
Sentence: 12,directed,O
Sentence: 12,by,O
Sentence: 12,alfred,B-Director
Sentence: 12,hitchcock,I-Director
Sentence: 12,and,O
Sentence: 12,starring,O
Sentence: 12,cary,B-Actor
Sentence: 12,grant,I-Actor
Sentence: 12,and,O
Sentence: 12,eva,B-Actor
Sentence: 12,marie,I-Actor
Sentence: 12,saint,I-Actor
Sentence: 13,i,O
Sentence: 13,m,O
Sentence: 13,thinking,O
Sentence: 13,of,O
Sentence: 13,an,O
Sentence: 13,80,B-Year
Sentence: 13,s,I-Year
Sentence: 13,comedy,B-Genre
Sentence: 13,film,I-Genre
Sentence: 13,that,O
Sentence: 13,stars,O
Sentence: 13,dustin,B-Actor
Sentence: 13,hoffman,I-Actor
Sentence: 13,and,O
Sentence: 13,terri,B-Actor
Sentence: 13,garr,I-Actor
Sentence: 13,where,O
Sentence: 13,hoffman,O
Sentence: 13,s,O
Sentence: 13,character,B-Plot
Sentence: 13,dresses,I-Plot
Sentence: 13,up,I-Plot
Sentence: 13,as,I-Plot
Sentence: 13,a,I-Plot
Sentence: 13,woman,I-Plot
Sentence: 13,to,I-Plot
Sentence: 13,land,I-Plot
Sentence: 13,a,I-Plot
Sentence: 13,job,I-Plot
Sentence: 14,what,O
Sentence: 14,movie,O
Sentence: 14,is,O
Sentence: 14,about,O
Sentence: 14,a,O
Sentence: 14,teenage,B-Plot
Sentence: 14,boy,I-Plot
Sentence: 14,getting,I-Plot
Sentence: 14,bit,I-Plot
Sentence: 14,by,I-Plot
Sentence: 14,a,I-Plot
Sentence: 14,radioactive,I-Plot
Sentence: 14,arachnid,I-Plot
Sentence: 14,and,I-Plot
Sentence: 14,gaining,I-Plot
Sentence: 14,super,I-Plot
Sentence: 14,powers,I-Plot
Sentence: 15,i,O
Sentence: 15,am,O
Sentence: 15,thinking,O
Sentence: 15,of,O
Sentence: 15,a,O
Sentence: 15,blockbuster,B-Opinion
Sentence: 15,science,B-Genre
Sentence: 15,fiction,I-Genre
Sentence: 15,film,O
Sentence: 15,that,O
Sentence: 15,stars,O
Sentence: 15,will,B-Actor
Sentence: 15,smith,I-Actor
Sentence: 15,and,O
Sentence: 15,tommy,B-Actor
Sentence: 15,lee,I-Actor
Sentence: 15,jones,I-Actor
Sentence: 15,as,O
Sentence: 15,undercover,B-Plot
Sentence: 15,agents,I-Plot
Sentence: 15,who,I-Plot
Sentence: 15,fight,I-Plot
Sentence: 15,intergalactic,I-Plot
Sentence: 15,beings,I-Plot
Sentence: 16,i,O
Sentence: 16,am,O
Sentence: 16,thinking,O
Sentence: 16,of,O
Sentence: 16,a,O
Sentence: 16,film,O
Sentence: 16,in,O
Sentence: 16,which,O
Sentence: 16,a,B-Plot
Sentence: 16,little,I-Plot
Sentence: 16,girl,I-Plot
Sentence: 16,s,I-Plot
Sentence: 16,house,I-Plot
Sentence: 16,accidentally,I-Plot
Sentence: 16,lands,I-Plot
Sentence: 16,on,I-Plot
Sentence: 16,top,I-Plot
Sentence: 16,of,I-Plot
Sentence: 16,a,I-Plot
Sentence: 16,witch,I-Plot
Sentence: 16,and,I-Plot
Sentence: 16,the,I-Plot
Sentence: 16,witches,I-Plot
Sentence: 16,sister,I-Plot
Sentence: 16,vows,I-Plot
Sentence: 16,revenge,I-Plot
Sentence: 17,what,O
Sentence: 17,baseball,B-Genre
Sentence: 17,film,I-Genre
Sentence: 17,starring,O
Sentence: 17,dennis,B-Actor
Sentence: 17,quaid,I-Actor
Sentence: 17,is,O
Sentence: 17,based,B-Origin
Sentence: 17,on,I-Origin
Sentence: 17,the,I-Origin
Sentence: 17,true,I-Origin
Sentence: 17,story,I-Origin
Sentence: 17,of,I-Origin
Sentence: 17,pitcher,I-Origin
Sentence: 17,jim,I-Origin
Sentence: 17,morris,I-Origin
Sentence: 18,a,O
Sentence: 18,1939,B-Year
Sentence: 18,movie,O
Sentence: 18,adaptation,O
Sentence: 18,of,O
Sentence: 18,1000,O
Sentence: 18,plus,O
Sentence: 18,page,O
Sentence: 18,book,O
Sentence: 18,starring,O
Sentence: 18,clark,B-Actor
Sentence: 18,gable,I-Actor
Sentence: 18,and,O
Sentence: 18,vivien,B-Actor
Sentence: 18,leigh,I-Actor
Sentence: 19,what,O
Sentence: 19,movie,O
Sentence: 19,was,O
Sentence: 19,inspired,O
Sentence: 19,by,O
Sentence: 19,a,O
Sentence: 19,very,O
Sentence: 19,famous,B-Soundtrack
Sentence: 19,song,I-Soundtrack
Sentence: 19,by,I-Soundtrack
Sentence: 19,the,I-Soundtrack
Sentence: 19,beatles,I-Soundtrack
Sentence: 19,and,B-Origin
Sentence: 19,written,I-Origin
Sentence: 19,by,I-Origin
Sentence: 19,paul,I-Origin
Sentence: 19,mccartney,I-Origin
Sentence: 20,i,O
Sentence: 20,m,O
Sentence: 20,thinking,O
Sentence: 20,of,O
Sentence: 20,a,O
Sentence: 20,movie,O
Sentence: 20,where,O
Sentence: 20,the,B-Plot
Sentence: 20,wimpy,I-Plot
Sentence: 20,main,I-Plot
Sentence: 20,character,I-Plot
Sentence: 20,befriends,I-Plot
Sentence: 20,a,I-Plot
Sentence: 20,fierce,I-Plot
Sentence: 20,animal,I-Plot
Sentence: 20,to,I-Plot
Sentence: 20,the,I-Plot
Sentence: 20,dismay,I-Plot
Sentence: 20,of,I-Plot
Sentence: 20,his,I-Plot
Sentence: 20,viking,I-Plot
Sentence: 20,community,I-Plot
Sentence: 21,what,O
Sentence: 21,film,O
Sentence: 21,did,O
Sentence: 21,billy,B-Actor
Sentence: 21,bob,I-Actor
Sentence: 21,thornton,I-Actor
Sentence: 21,win,O
Sentence: 21,an,O
Sentence: 21,oscar,B-Award
Sentence: 21,for,I-Award
Sentence: 21,writing,I-Award
Sentence: 22,what,O
Sentence: 22,1979,B-Year
Sentence: 22,musical,B-Genre
Sentence: 22,is,O
Sentence: 22,loosely,O
Sentence: 22,based,B-Plot
Sentence: 22,on,I-Plot
Sentence: 22,the,I-Plot
Sentence: 22,life,I-Plot
Sentence: 22,and,I-Plot
Sentence: 22,career,I-Plot
Sentence: 22,of,I-Plot
Sentence: 22,the,I-Plot
Sentence: 22,film,I-Plot
Sentence: 22,s,I-Plot
Sentence: 22,director,I-Plot
Sentence: 22,bob,B-Director
Sentence: 22,fosse,I-Director
Sentence: 23,while,O
Sentence: 23,shooting,O
Sentence: 23,this,O
Sentence: 23,pivotal,B-Opinion
Sentence: 23,counterculture,B-Genre
Sentence: 23,film,O
Sentence: 23,paul,B-Actor
Sentence: 23,newman,I-Actor
Sentence: 23,was,O
Sentence: 23,said,O
Sentence: 23,to,O
Sentence: 23,have,O
Sentence: 23,eaten,O
Sentence: 23,over,O
Sentence: 23,fifty,O
Sentence: 23,boiled,O
Sentence: 23,eggs,O
Sentence: 23,in,O
Sentence: 23,a,O
Sentence: 23,single,O
Sentence: 23,afternoon,O
Sentence: 24,what,O
Sentence: 24,2012,B-Year
Sentence: 24,movie,O
Sentence: 24,revived,O
Sentence: 24,the,O
Sentence: 24,american,B-Relationship
Sentence: 24,pie,I-Relationship
Sentence: 24,chain,I-Relationship
Sentence: 24,by,O
Sentence: 24,bringing,O
Sentence: 24,back,O
Sentence: 24,jason,B-Actor
Sentence: 24,biggs,I-Actor
Sentence: 24,alyson,I-Actor
Sentence: 24,hannigan,I-Actor
Sentence: 24,and,O
Sentence: 24,most,O
Sentence: 24,of,O
Sentence: 24,the,O
Sentence: 24,rest,O
Sentence: 24,of,O
Sentence: 24,the,O
Sentence: 24,cast,O
Sentence: 24,from,O
Sentence: 24,the,O
Sentence: 24,original,O
Sentence: 24,film,O
Sentence: 25,based,O
Sentence: 25,on,O
Sentence: 25,a,O
Sentence: 25,graphic,B-Genre
Sentence: 25,novel,I-Genre
Sentence: 25,this,O
Sentence: 25,film,O
Sentence: 25,stars,O
Sentence: 25,actor,O
Sentence: 25,mickey,B-Actor
Sentence: 25,rourke,I-Actor
Sentence: 25,and,O
Sentence: 25,features,O
Sentence: 25,others,O
Sentence: 25,such,O
Sentence: 25,as,O
Sentence: 25,jessica,B-Actor
Sentence: 25,alba,I-Actor
Sentence: 25,carla,I-Actor
Sentence: 25,gugino,I-Actor
Sentence: 25,bruce,I-Actor
Sentence: 25,willis,I-Actor
Sentence: 25,and,I-Actor
Sentence: 25,tobey,I-Actor
Sentence: 25,maguire,I-Actor
Sentence: 26,what,O
Sentence: 26,2000,B-Year
Sentence: 26,movie,O
Sentence: 26,is,O
Sentence: 26,the,O
Sentence: 26,story,B-Plot
Sentence: 26,of,I-Plot
Sentence: 26,two,I-Plot
Sentence: 26,warriors,I-Plot
Sentence: 26,chasing,I-Plot
Sentence: 26,down,I-Plot
Sentence: 26,a,I-Plot
Sentence: 26,stolen,I-Plot
Sentence: 26,sword,I-Plot
Sentence: 26,run,I-Plot
Sentence: 26,into,I-Plot
Sentence: 26,a,I-Plot
Sentence: 26,skilled,I-Plot
Sentence: 26,nobleman,I-Plot
Sentence: 26,s,I-Plot
Sentence: 26,daughter,I-Plot
Sentence: 27,i,O
Sentence: 27,m,O
Sentence: 27,thinking,O
Sentence: 27,of,O
Sentence: 27,a,O
Sentence: 27,movie,O
Sentence: 27,with,O
Sentence: 27,leo,B-Actor
Sentence: 27,dicaprio,I-Actor
Sentence: 27,in,O
Sentence: 27,which,O
Sentence: 27,he,B-Plot
Sentence: 27,enters,I-Plot
Sentence: 27,the,I-Plot
Sentence: 27,human,I-Plot
Sentence: 27,mind,I-Plot
Sentence: 27,through,I-Plot
Sentence: 27,their,I-Plot
Sentence: 27,dreams,I-Plot
Sentence: 28,a,B-Plot
Sentence: 28,young,I-Plot
Sentence: 28,girl,I-Plot
Sentence: 28,lets,I-Plot
Sentence: 28,three,I-Plot
Sentence: 28,strangers,I-Plot
Sentence: 28,escort,I-Plot
Sentence: 28,her,I-Plot
Sentence: 28,to,I-Plot
Sentence: 28,see,I-Plot
Sentence: 28,a,I-Plot
Sentence: 28,strange,I-Plot
Sentence: 28,gentleman,I-Plot
Sentence: 28,that,I-Plot
Sentence: 28,is,I-Plot
Sentence: 28,fond,I-Plot
Sentence: 28,of,I-Plot
Sentence: 28,magic,I-Plot
Sentence: 28,tricks,I-Plot
Sentence: 29,released,O
Sentence: 29,in,O
Sentence: 29,1967,B-Year
Sentence: 29,this,O
Sentence: 29,film,O
Sentence: 29,featured,O
Sentence: 29,a,O
Sentence: 29,major,O
Sentence: 29,cast,O
Sentence: 29,of,O
Sentence: 29,stars,O
Sentence: 29,portraying,O
Sentence: 29,a,B-Plot
Sentence: 29,group,I-Plot
Sentence: 29,of,I-Plot
Sentence: 29,enlisted,I-Plot
Sentence: 29,convicts,I-Plot
Sentence: 29,in,I-Plot
Sentence: 29,wwii,I-Plot
Sentence: 29,led,I-Plot
Sentence: 29,by,I-Plot
Sentence: 29,lee,B-Actor
Sentence: 29,marvin,I-Actor
Sentence: 30,i,O
Sentence: 30,am,O
Sentence: 30,thinking,O
Sentence: 30,of,O
Sentence: 30,the,O
Sentence: 30,award,O
Sentence: 30,winning,O
Sentence: 30,steven,B-Director
Sentence: 30,spielberg,I-Director
Sentence: 30,film,O
Sentence: 30,that,O
Sentence: 30,stars,O
Sentence: 30,tom,B-Actor
Sentence: 30,hanks,I-Actor
Sentence: 30,as,O
Sentence: 30,an,B-Plot
Sentence: 30,army,I-Plot
Sentence: 30,captain,I-Plot
Sentence: 30,on,I-Plot
Sentence: 30,a,I-Plot
Sentence: 30,mission,I-Plot
Sentence: 30,to,I-Plot
Sentence: 30,rescue,I-Plot
Sentence: 30,the,I-Plot
Sentence: 30,sole,I-Plot
Sentence: 30,survivor,I-Plot
Sentence: 30,of,I-Plot
Sentence: 30,four,I-Plot
Sentence: 30,enlisted,I-Plot
Sentence: 30,brothers,I-Plot
Sentence: 30,after,I-Plot
Sentence: 30,the,I-Plot
Sentence: 30,invasion,I-Plot
Sentence: 30,of,I-Plot
Sentence: 30,normandy,I-Plot
Sentence: 31,what,O
Sentence: 31,is,O
Sentence: 31,the,O
Sentence: 31,movie,O
Sentence: 31,about,O
Sentence: 31,luke,B-Character_Name
Sentence: 31,skywalker,I-Character_Name
Sentence: 31,breaking,B-Plot
Sentence: 31,free,I-Plot
Sentence: 31,from,I-Plot
Sentence: 31,his,I-Plot
Sentence: 31,aunt,I-Plot
Sentence: 31,and,I-Plot
Sentence: 31,uncle,I-Plot
Sentence: 31,to,I-Plot
Sentence: 31,rescue,I-Plot
Sentence: 31,princess,B-Character_Name
Sentence: 31,leia,I-Character_Name
Sentence: 32,what,O
Sentence: 32,is,O
Sentence: 32,the,O
Sentence: 32,film,O
Sentence: 32,based,O
Sentence: 32,off,O
Sentence: 32,the,O
Sentence: 32,children,O
Sentence: 32,s,O
Sentence: 32,rhyme,O
Sentence: 32,about,O
Sentence: 32,the,O
Sentence: 32,couple,B-Plot
Sentence: 32,who,I-Plot
Sentence: 32,go,I-Plot
Sentence: 32,over,I-Plot
Sentence: 32,the,I-Plot
Sentence: 32,hill,I-Plot
Sentence: 33,what,O
Sentence: 33,is,O
Sentence: 33,that,O
Sentence: 33,film,O
Sentence: 33,starring,O
Sentence: 33,julia,B-Actor
Sentence: 33,roberts,I-Actor
Sentence: 33,who,O
Sentence: 33,plays,O
Sentence: 33,a,O
Sentence: 33,middle,B-Plot
Sentence: 33,aged,I-Plot
Sentence: 33,woman,I-Plot
Sentence: 33,who,I-Plot
Sentence: 33,decides,I-Plot
Sentence: 33,to,I-Plot
Sentence: 33,embark,I-Plot
Sentence: 33,on,I-Plot
Sentence: 33,an,I-Plot
Sentence: 33,adventure,I-Plot
Sentence: 33,and,I-Plot
Sentence: 33,goes,I-Plot
Sentence: 33,to,I-Plot
Sentence: 33,bali,I-Plot
Sentence: 34,im,O
Sentence: 34,thinking,O
Sentence: 34,of,O
Sentence: 34,a,O
Sentence: 34,movie,O
Sentence: 34,where,O
Sentence: 34,a,B-Plot
Sentence: 34,manhattan,I-Plot
Sentence: 34,couple,I-Plot
Sentence: 34,are,I-Plot
Sentence: 34,suddenly,I-Plot
Sentence: 34,dealing,I-Plot
Sentence: 34,with,I-Plot
Sentence: 34,the,I-Plot
Sentence: 34,issue,I-Plot
Sentence: 34,of,I-Plot
Sentence: 34,employment,I-Plot
Sentence: 34,and,I-Plot
Sentence: 34,move,I-Plot
Sentence: 34,to,I-Plot
Sentence: 34,a,I-Plot
Sentence: 34,community,I-Plot
Sentence: 34,where,I-Plot
Sentence: 34,free,I-Plot
Sentence: 34,love,I-Plot
Sentence: 34,rules,I-Plot
Sentence: 35,fuck,O
Sentence: 35,you,O
Sentence: 35,thunder,O
Sentence: 35,your,O
Sentence: 35,just,O
Sentence: 35,gods,O
Sentence: 35,farts,O
Sentence: 36,which,O
Sentence: 36,film,O
Sentence: 36,is,O
Sentence: 36,about,O
Sentence: 36,a,B-Plot
Sentence: 36,group,I-Plot
Sentence: 36,of,I-Plot
Sentence: 36,seemingly,I-Plot
Sentence: 36,unrelated,I-Plot
Sentence: 36,characters,I-Plot
Sentence: 36,being,I-Plot
Sentence: 36,isolated,I-Plot
Sentence: 36,and,I-Plot
Sentence: 36,tortured,I-Plot
Sentence: 36,by,I-Plot
Sentence: 36,the,I-Plot
Sentence: 36,villain,I-Plot
Sentence: 36,jigsaw,B-Character_Name
Sentence: 37,what,O
Sentence: 37,is,O
Sentence: 37,the,O
Sentence: 37,name,O
Sentence: 37,of,O
Sentence: 37,the,O
Sentence: 37,animated,B-Genre
Sentence: 37,film,O
Sentence: 37,based,O
Sentence: 37,on,O
Sentence: 37,a,B-Plot
Sentence: 37,clown,I-Plot
Sentence: 37,fish,I-Plot
Sentence: 37,who,I-Plot
Sentence: 37,has,I-Plot
Sentence: 37,lost,I-Plot
Sentence: 37,his,I-Plot
Sentence: 37,son,I-Plot
Sentence: 38,i,O
Sentence: 38,am,O
Sentence: 38,thinking,O
Sentence: 38,of,O
Sentence: 38,the,O
Sentence: 38,film,O
Sentence: 38,adaptation,O
Sentence: 38,of,O
Sentence: 38,the,O
Sentence: 38,fannie,B-Origin
Sentence: 38,flagg,I-Origin
Sentence: 38,novel,I-Origin
Sentence: 38,that,O
Sentence: 38,stars,O
Sentence: 38,jessica,B-Actor
Sentence: 38,tandy,I-Actor
Sentence: 38,and,O
Sentence: 38,kathy,B-Actor
Sentence: 38,bates,I-Actor
Sentence: 38,and,O
Sentence: 38,tells,B-Plot
Sentence: 38,the,I-Plot
Sentence: 38,tale,I-Plot
Sentence: 38,of,I-Plot
Sentence: 38,a,I-Plot
Sentence: 38,strong,I-Plot
Sentence: 38,bond,I-Plot
Sentence: 38,between,I-Plot
Sentence: 38,two,I-Plot
Sentence: 38,depression,I-Plot
Sentence: 38,era,I-Plot
Sentence: 38,women,I-Plot
Sentence: 39,i,O
Sentence: 39,want,O
Sentence: 39,to,O
Sentence: 39,see,O
Sentence: 39,that,O
Sentence: 39,movie,O
Sentence: 39,with,O
Sentence: 39,jonah,B-Actor
Sentence: 39,hill,I-Actor
Sentence: 39,who,O
Sentence: 39,has,O
Sentence: 39,to,O
Sentence: 39,bring,B-Plot
Sentence: 39,an,I-Plot
Sentence: 39,alcoholic,I-Plot
Sentence: 39,english,I-Plot
Sentence: 39,rockstar,I-Plot
Sentence: 39,playboy,I-Plot
Sentence: 39,nuisance,I-Plot
Sentence: 39,to,I-Plot
Sentence: 39,his,I-Plot
Sentence: 39,destination,I-Plot
Sentence: 39,before,I-Plot
Sentence: 39,a,I-Plot
Sentence: 39,set,I-Plot
Sentence: 39,time,I-Plot
Sentence: 40,what,O
Sentence: 40,movie,O
Sentence: 40,features,O
Sentence: 40,psychopath,O
Sentence: 40,norman,B-Character_Name
Sentence: 40,bates,I-Character_Name
Sentence: 40,and,O
Sentence: 40,the,O
Sentence: 40,most,O
Sentence: 40,famous,B-Opinion
Sentence: 40,shower,I-Opinion
Sentence: 40,scene,I-Opinion
Sentence: 40,in,I-Opinion
Sentence: 40,cinematic,I-Opinion
Sentence: 40,history,I-Opinion
Sentence: 41,this,O
Sentence: 41,movie,O
Sentence: 41,is,O
Sentence: 41,about,O
Sentence: 41,a,B-Plot
Sentence: 41,street,I-Plot
Sentence: 41,urchin,I-Plot
Sentence: 41,accidentally,I-Plot
Sentence: 41,meets,I-Plot
Sentence: 41,princess,I-Plot
Sentence: 41,jasmine,B-Character_Name
Sentence: 41,who,B-Plot
Sentence: 41,is,I-Plot
Sentence: 41,in,I-Plot
Sentence: 41,the,I-Plot
Sentence: 41,city,I-Plot
Sentence: 41,undercover,I-Plot
Sentence: 41,they,I-Plot
Sentence: 41,love,I-Plot
Sentence: 41,each,I-Plot
Sentence: 41,other,I-Plot
Sentence: 41,but,I-Plot
Sentence: 41,she,I-Plot
Sentence: 41,can,I-Plot
Sentence: 41,only,I-Plot
Sentence: 41,marry,I-Plot
Sentence: 41,a,I-Plot
Sentence: 41,prince,I-Plot
Sentence: 42,what,O
Sentence: 42,s,O
Sentence: 42,the,O
Sentence: 42,movie,O
Sentence: 42,where,O
Sentence: 42,the,O
Sentence: 42,myth,B-Genre
Sentence: 42,of,O
Sentence: 42,gangster,O
Sentence: 42,keiser,B-Character_Name
Sentence: 42,soze,I-Character_Name
Sentence: 42,is,O
Sentence: 42,recounted,B-Plot
Sentence: 42,from,O
Sentence: 42,different,O
Sentence: 42,perspectives,B-Plot
Sentence: 43,what,O
Sentence: 43,is,O
Sentence: 43,the,O
Sentence: 43,name,O
Sentence: 43,of,O
Sentence: 43,the,O
Sentence: 43,movie,O
Sentence: 43,where,O
Sentence: 43,jeremy,B-Actor
Sentence: 43,renner,I-Actor
Sentence: 43,plays,O
Sentence: 43,the,B-Plot
Sentence: 43,sergeant,I-Plot
Sentence: 43,of,I-Plot
Sentence: 43,an,I-Plot
Sentence: 43,army,I-Plot
Sentence: 43,bomb,I-Plot
Sentence: 43,squad,I-Plot
Sentence: 43,unit,I-Plot
Sentence: 43,during,I-Plot
Sentence: 43,the,I-Plot
Sentence: 43,iraq,I-Plot
Sentence: 43,war,I-Plot
Sentence: 44,what,O
Sentence: 44,is,O
Sentence: 44,this,O
Sentence: 44,1972,B-Year
Sentence: 44,iconic,O
Sentence: 44,american,B-Genre
Sentence: 44,epic,B-Opinion
Sentence: 44,crime,B-Genre
Sentence: 44,film,O
Sentence: 44,about,O
Sentence: 44,a,B-Plot
Sentence: 44,man,I-Plot
Sentence: 44,who,I-Plot
Sentence: 44,has,I-Plot
Sentence: 44,an,I-Plot
Sentence: 44,offer,I-Plot
Sentence: 44,you,I-Plot
Sentence: 44,ca,I-Plot
Sentence: 44,n,I-Plot
Sentence: 44,t,I-Plot
Sentence: 44,refuse,I-Plot
Sentence: 45,i,O
Sentence: 45,am,O
Sentence: 45,thinking,O
Sentence: 45,of,O
Sentence: 45,a,O
Sentence: 45,film,O
Sentence: 45,that,O
Sentence: 45,was,O
Sentence: 45,based,O
Sentence: 45,on,O
